21 2 0 | Il.4.459:2/7-Il.4.461:6/7 Il.6.9:2/7-Il.6.11:6/7 | βάλλω πρῶτος κόρυς φάλος ἱπποδάσεια ἐν δέ μέτωπον πήγνυμι περάω δέ ἄρα ὀστέον εἴσω αἰχμή χάλκειος ὁ δέ σκότος ὄσσα καλύπτω
21 2 0 | Il.6.92:0/5-Il.6.95:2/8 Il.6.273:1/6-Il.6.276:2/8 | τίθημι Ἀθήνη ἐπί γόνυ εὔκομος καί ἕ ὑπισχνέομαι δυοκαίδεκα βοῦς ἐν ναός ἦνις ἤκεστος ἱερεύω εἰ ἄν ἐλεέω ἄστυ τε καί
21 2 0 | Il.6.318:3/9-Il.6.321:0/8 Il.8.493:4/10-Il.8.496:0/7 | Ζεύς φίλος ἐν δέ ἄρα χείρ ἔγχος ἔχω ἑνδεκάπηχυς πάροιθε δέ λάμπω δόρυ αἰχμή χάλκειος περί δέ χρύσεος θέω πόρκης ὁ
20 2 0 | Il.10.402:0/6-Il.10.404:7/8 Il.17.76:0/6-Il.17.78:7/8 | ἵππος Αἰακίδης δαίφρων ὁ δέ ἀλεγεινός ἀνήρ γε θνητός δαμάζω ἠδέ ὀχέω ἄλλος γε ἤ Ἀχιλλεύς ὁ ἀθάνατος τίκτω μήτηρ
20 2 0 | Il.12.231:5/9-Il.12.234:0/9 Il.7.357:4/8-Il.7.360:0/9 | ἐγώ φίλος οὗτος ἀγορεύω οἶδα καί ἄλλος μῦθος ἀμείνων ὅδε νοέω εἰ δέ ἐτεός δή οὗτος ἀπό σπουδή ἀγορεύω ἐκ
20 2 0 | Il.13.131:0/9-Il.13.133:4/5 Il.16.215:0/9-Il.16.217:4/5 | ἀσπίς ἄρα ἀσπίς ἐρείδω κόρυς κόρυς ἀνήρ δέ ἀνήρ ψαύω δέ ἱππόκομος κόρυς λαμπρός φάλος νεύω ὡς πυκνός ἐφίστημι ἀλλήλων
20 2 0 | Il.15.573:4/8-Il.15.576:0/5 Il.4.496:5/9-Il.4.499:0/6 | καί ἀκοντίζω δόρυ φαεινός ἀμφί ἕ παπταίνω ὑπό δέ Τρώς χάζω ἀνήρ ἀκοντίζω ὁ δέ οὐ ἅλιος βέλος ἵημι ἀλλά
20 2 0 | Il.16.456:0/7-Il.16.458:3/10 Il.16.674:0/7-Il.16.676:3/8 | ἔνθα ἕ ταρχύω κασίγνητος τε ἔτης τε τύμβος τε στήλη τε ὁ γάρ γέρας εἰμί θνήσκω ὡς φημί οὐ δέ
20 2 0 | Il.24.203:2/7-Il.24.205:5/6 Il.24.519:2/7-Il.24.521:5/6 | ἐπί ναῦς Ἀχαιός ἔρχομαι οἶος ἀνήρ εἰς ὀφθαλμός ὅς σύ πολύς τε καί ἐσθλός υἱός ἐξεναρίζω σιδήρεος νῦν σύ ἦτορ
20 2 0 | Il.9.417:6/7-Il.9.420:5/6 Il.9.684:6/7-Il.9.687:5/6 | παραμυθέομαι οἴκαδε ἀποπλέω ἐπεί οὐκέτι δήω τέκμωρ Ἴλιος αἰπεινός μάλα γάρ ἕ εὐρύοπα Ζεύς χείρ ἑός ὑπερέχω θαρσέω δέ λαός
